Area,Consumption Segment,Country,"Sector, Category or Product",name,Value
Urban,Higher,Belarus,"Coffee, Tea and Cocoa",US$,44.2212412
Urban,Higher,Belarus,"Coffee, Tea and Cocoa",$PPP,119.3897594
Urban,Higher,Belarus,"Coffee, Tea and Cocoa",Local Currency,131713.4091
Urban,Middle,Belarus,"Coffee, Tea and Cocoa",US$,149.6787554
Urban,Middle,Belarus,"Coffee, Tea and Cocoa",$PPP,404.106943
Urban,Middle,Belarus,"Coffee, Tea and Cocoa",Local Currency,445819.6699
Urban,Lowest,Belarus,"Coffee, Tea and Cocoa",US$,0.033934523
Urban,Lowest,Belarus,"Coffee, Tea and Cocoa",$PPP,0.091617385
Urban,Lowest,Belarus,"Coffee, Tea and Cocoa",Local Currency,101.0743151
Urban,Low,Belarus,"Coffee, Tea and Cocoa",US$,19.18140896
Urban,Low,Belarus,"Coffee, Tea and Cocoa",$PPP,51.78651115
Urban,Low,Belarus,"Coffee, Tea and Cocoa",Local Currency,57132.01841
Urban,All,Belarus,"Coffee, Tea and Cocoa",US$,213.1153401
Urban,All,Belarus,"Coffee, Tea and Cocoa",$PPP,575.3748309
Urban,All,Belarus,"Coffee, Tea and Cocoa",Local Currency,634766.1717
National,Higher,Benin,"Coffee, Tea and Cocoa",US$,0
National,Higher,Benin,"Coffee, Tea and Cocoa",$PPP,0
National,Higher,Benin,"Coffee, Tea and Cocoa",Local Currency,0
National,Middle,Benin,"Coffee, Tea and Cocoa",US$,0
National,Middle,Benin,"Coffee, Tea and Cocoa",$PPP,0
National,Middle,Benin,"Coffee, Tea and Cocoa",Local Currency,0
National,Lowest,Benin,"Coffee, Tea and Cocoa",US$,0
National,Lowest,Benin,"Coffee, Tea and Cocoa",$PPP,0
National,Lowest,Benin,"Coffee, Tea and Cocoa",Local Currency,0
National,Low,Benin,"Coffee, Tea and Cocoa",US$,0
National,Low,Benin,"Coffee, Tea and Cocoa",$PPP,0
National,Low,Benin,"Coffee, Tea and Cocoa",Local Currency,0
National,All,Benin,"Coffee, Tea and Cocoa",US$,0
National,All,Benin,"Coffee, Tea and Cocoa",$PPP,0
National,All,Benin,"Coffee, Tea and Cocoa",Local Currency,0
Rural,Higher,Benin,"Coffee, Tea and Cocoa",US$,0
Rural,Higher,Benin,"Coffee, Tea and Cocoa",$PPP,0
Rural,Higher,Benin,"Coffee, Tea and Cocoa",Local Currency,0
Rural,Middle,Benin,"Coffee, Tea and Cocoa",US$,0
Rural,Middle,Benin,"Coffee, Tea and Cocoa",$PPP,0
Rural,Middle,Benin,"Coffee, Tea and Cocoa",Local Currency,0
Rural,Lowest,Benin,"Coffee, Tea and Cocoa",US$,0
Rural,Lowest,Benin,"Coffee, Tea and Cocoa",$PPP,0
Rural,Lowest,Benin,"Coffee, Tea and Cocoa",Local Currency,0
Rural,Low,Benin,"Coffee, Tea and Cocoa",US$,0
Rural,Low,Benin,"Coffee, Tea and Cocoa",$PPP,0
Rural,Low,Benin,"Coffee, Tea and Cocoa",Local Currency,0
Rural,All,Benin,"Coffee, Tea and Cocoa",US$,0
Rural,All,Benin,"Coffee, Tea and Cocoa",$PPP,0
Rural,All,Benin,"Coffee, Tea and Cocoa",Local Currency,0
